atm_id,alias_id,banklocation_id,install_date,delievery_date,takeover_date,category_id,model_id,android_version,serial_number,type_id,status_id,warranty
AMKATM52,PNPHAR-A001,1,8/28/2021,7/18/2021,8/30/2026,1,1,Win10,J810004199,1,1,365
AMKATM53,ASNTAN1-A001,1,10/5/2020,7/18/2021,8/30/2026,1,1,Win10,J810001727,1,1,365
AMKATM54,ASNASN-A001,1,6/21/2021,7/18/2021,8/30/2026,1,1,Win10,J810004212,1,1,365
AMKATM55,TAKTAK-A001,1,3/17/2022,7/18/2021,8/30/2026,1,1,Win10,J810004209,1,1,365
AMKATM56,PNPPSC-A001,1,1/20/2016,7/18/2021,8/30/2026,1,1,Win10,J810004208,1,1,365
AMKATM57,ASNCPV-C001,1,1/28/2021,7/18/2021,8/30/2026,1,3,Win10,5310259818,2,1,365
AMKATM58,BTBBTB-C001,1,8/30/2021,7/18/2021,8/30/2026,1,3,Win10,5310263839,2,1,365
AMKATM59,PNPCKM-A001,1,6/23/2021,7/18/2021,8/30/2026,1,1,Win10,J821001980,1,1,365
AMKATM60,ASNCPV-A001,1,6/21/2021,7/18/2021,8/30/2026,1,1,Win10,J810004202,1,1,365
AMKATM61,KADKAD-A001,1,6/24/2021,7/18/2021,8/30/2026,1,1,Win10,J810004210,1,1,365
AMKATM62,PNPBKM-A001,1,6/23/2021,7/18/2021,8/30/2026,1,1,Win10,J810004219,1,1,365
AMKATM63,SHVSHV-A001,1,9/3/2021,7/18/2021,8/30/2026,1,1,Win10,J810004207,1,1,365
AMKATM64,PNPTKK-C001,1,7/17/2021,7/18/2021,8/30/2026,1,3,Win10,5310259874,2,1,365
AMKATM65,PUKPUK-A001,1,9/2/2021,7/18/2021,8/30/2026,1,1,Win10,J810004227,1,1,365
AMKATM66,PNPNUM-C001,1,9/1/2021,7/18/2021,8/30/2026,1,3,Win10,J810004216,2,1,365
AMKATM67,PNPBKM-C001,1,9/1/2021,7/18/2021,8/30/2026,1,3,Win10,J810004211,2,1,365
AMKATM68,RTKRTK-A001,1,9/3/2021,7/18/2021,8/30/2026,1,1,Win10,J810004218,1,1,365
AMKATM69,SKNSKN-A001,1,9/2/2021,7/18/2021,8/30/2026,1,1,Win10,J810004191,1,1,365
AMKATM70,PRHPRH-A001,1,8/24/2021,7/18/2021,8/30/2026,1,1,Win10,J810004223,1,1,365
AMKATM71,SRPNMK-A001,1,9/13/2021,7/18/2021,8/30/2026,1,1,Win10,J810000779,1,1,365
AMKATM72,SVRSVR-A001,1,3/3/2022,7/18/2021,8/30/2026,1,1,Win10,J810004206,1,1,365
AMKATM73,SNGSNG-C001,1,9/14/2021,7/18/2021,8/30/2026,1,3,Win10,5310263780,2,1,365
AMKATM74,SRPSRP-A001,1,11/16/2021,7/18/2021,8/30/2026,1,1,Win10,J810001785,1,1,365
AMKATM75,STRSTR-A001,1,1/1/2022,7/18/2021,8/30/2026,1,1,Win10,J810004234,1,1,365
AMKATM76,TTLKFR-A001,1,5/4/2022,5/1/2022,8/30/2026,1,1,Win10,J810009362,1,1,365
AMKATM77,CCVLKH-A001,1,5/4/2022,5/1/2022,8/30/2026,1,1,Win10,J810009356,1,1,365
AMKATM78,PSCNRD-A001,1,5/3/2022,5/1/2022,8/30/2026,1,1,Win10,J810009366,1,1,365
AMKATM79,PNPMTT-A001,1,5/2/2022,5/1/2022,8/30/2026,1,1,Win10,J810009359,1,1,365
AMKATM80,PNPCAR-A001,1,5/5/2022,5/1/2022,8/30/2026,1,1,Win10,J810009349,1,1,365
AMKATM81,PNPMBC-A001,1,5/2/2022,5/1/2022,8/30/2026,1,1,Win10,J810009361,1,1,365
AMKATM82,VSR371-A001,1,5/5/2022,5/1/2022,8/30/2026,1,1,Win10,J810009357,1,1,365
AMKATM83,PDKIOM-A001,1,5/3/2022,5/1/2022,8/30/2026,1,1,Win10,J810009358,1,1,365
AMKATM85,TTLHCF-A001,1,6/15/2022,5/1/2022,8/30/2026,1,1,Win10,J810009353,1,1,365
AMKATM86,BKMSTD-A001,1,6/16/2022,5/1/2022,8/30/2026,1,1,Win10,J810009352,1,1,365
AMKATM87,CCVDCF-A001,1,6/16/2022,5/1/2022,8/30/2026,1,1,Win10,J810009354,1,1,365
AMKATM88,VSRKMA-A001,1,6/15/2022,5/1/2022,8/30/2026,1,1,Win10,J810009351,1,1,365
AMKATM89,AMK_UAT,1,9/6/2022,9/6/2022,9/6/2027,1,1,Win10,test01,1,1,365
AMKATM90,AMK_UAT,1,9/6/2022,9/6/2022,9/6/2027,1,3,Win10,test02,2,1,365
AMKATM91,ANSVSR-C001,1,5/26/2023,5/26/2023,5/26/2027,1,3,Win10,test03,2,1,365
AMKDC01,PTT Chbar Obpov,1,6/28/2022,6/28/2022,6/28/2027,1,4,Android OS,DM200A00266,3,1,365
AMKDC02,PTT Prey Key,1,6/29/2022,6/29/2022,6/29/2027,1,4,Android OS,DM200A00303,3,1,365
AMKDC03,PTT Prek Phnov,1,6/30/2022,6/30/2022,6/30/2027,1,4,Android OS,DM200A00302,3,1,365
AMKDC04,PTT_Klaing Leu,1,5/29/2023,5/29/2023,5/29/2027,1,4,Android OS,C2304001,3,1,365
AMKDC05,PTT Seang Nam,1,6/8/2023,6/8/2023,6/8/2027,1,4,Android OS,C2304002,3,1,365
AMKDC06,PTT Siem Reap,1,6/7/2023,6/7/2023,6/7/2027,1,4,Android OS,C2304003,3,1,365
AMKDC07,PTT Phdao Chum 1,1,6/6/2023,6/6/2023,6/6/2027,1,4,Android OS,C2304004,3,1,365
AMKDC08,PTT Phdao-Chum 2,1,6/5/2023,6/5/2023,6/5/2027,1,4,Android OS,C2304005,3,1,365
AMKDC09,PTT Takeo City,1,5/31/2023,5/31/2023,5/31/2027,1,4,Android OS,C2304006,3,1,365
AMKDC10,PTT Pich Nil,1,5/30/2023,5/30/2023,5/30/2027,1,4,Android OS,C2304007,3,1,365
AMKDC11,PTT Kampong Chhnang,1,6/9/2023,6/9/2023,6/9/2027,1,4,Android OS,C2304009,3,1,365
ATM00001,ATM00001,1,1/21/2022,1/21/2022,1/21/2027,1,1,Win10,J810001788,1,1,365
ATM-share 01,ATMSHA1-A001,1,3/11/2023,3/11/2023,3/11/2028,1,1,Win10,J810009861,1,1,365
ATM-share 02,ATMSHA2-A001,1,3/11/2023,3/11/2023,3/11/2028,1,1,Win10,J812001422,1,1,365
BKATM001,BKATM001,1,5/15/2023,5/15/2023,5/15/2028,1,1,Win10,J810009717,1,1,365
BKCRM001,BKCRM001,1,5/15/2023,5/15/2023,5/15/2028,1,3,Win10,J812001419,2,1,365
BMCCRM01,BMCCRM01,1,1/18/2023,1/18/2023,1/18/2028,1,3,Win10,J812001414,2,1,365
BTBCRM01,BTBCRM01,1,1/18/2023,1/18/2023,1/18/2028,1,3,Win10,J812001417,2,1,365
CRM00001,CRM00001,1,6/14/2022,6/14/2022,6/14/2028,1,3,Win10,J812001288,2,1,365
IMATM001,IMATM001,1,3/4/2022,3/4/2022,3/4/2028,1,1,Win10,J810001786,1,1,365
IMCRM001,IMCRM001,1,7/19/2022,7/19/2022,7/19/2028,1,3,Win10,J812001412,2,1,365
KHKCRM01,KHKCRM01,1,9/16/2023,9/16/2023,9/16/2028,1,3,Win10,J812002095,2,1,365
KPCCRM01,KPCCRM01,1,6/26/2023,6/26/2023,6/26/2028,1,3,Win10,J812001416,2,1,365
NSFCRM01,NSFCRM01,1,11/14/2023,11/14/2023,11/14/2028,1,3,Win10,J812002094,2,1,365
OKDCRM01,OKDCRM01,1,2/17/2023,2/17/2023,2/17/2028,1,3,Win10,J812001409,2,1,365
PBCATM01,PBCATM01,1,1/10/2023,1/10/2023,1/10/2028,1,1,Win10,J810009866,1,1,365
PBCCRM01,PBCCRM01,1,1/10/2023,1/10/2023,1/10/2028,1,3,Win10,J812001418,2,1,365
PPAATM01,PPAATM01,1,11/21/2023,11/21/2023,11/21/2028,1,1,Win10,J810018030,1,1,365
PSZATM01,PSZATM01,1,1/25/2023,1/25/2023,1/25/2028,1,1,Win10,J810009864,1,1,365
PSZCRM01,PSZCRM01,1,1/25/2023,1/25/2023,1/25/2028,1,3,Win10,J812001411,2,1,365
SHVATM01,SHVATM01,1,6/1/2022,6/1/2022,6/1/2027,1,1,Win10,J810009860,1,1,365
SHVCRM01,SHVCRM01,1,6/1/2022,6/1/2022,6/1/2027,1,3,Win10,J812001290,2,1,365
SSATM001,SSATM001,1,3/18/2022,3/18/2022,3/18/2027,1,1,Win10,J810005791,1,1,365
SSCRM001,SSCRM001,1,6/13/2022,6/13/2022,6/13/2027,1,3,Win10,J812001410,2,1,365
TCATM001,TCATM001,1,10/21/2022,10/21/2022,10/21/2027,1,3,Win10,J810009716,1,1,365
TCCRM001,TCCRM001,1,10/21/2022,10/21/2022,10/21/2027,1,3,Win10,J812001420,2,1,365
TKATM001,TKATM001,1,3/18/2022,3/18/2022,3/18/2027,1,1,Win10,J810009350,1,1,365
