bank_name_id,site_name_id,siteID,address,created_at,updated_at
2,7,120404,"Street 169, Sangkat Veal Vong, Khan 7 Makara, Phnom Penh, Cambodia.",1/19/2024,1/19/2024
2,7,120104-05,"647, Chamkar Dong Street, Sambour Village, Sangkat Dangkor, Khan Dangkor, Phnom Penh, Cambodia.",1/19/2024,1/19/2024
2,7,120911,"No. 34 national road 4 phum angkor, sangkat chom chao, Khan por sen chey, Phnom Penh",1/19/2024,1/19/2024
2,7,120404-03,"Kampuchea Krom Street, Sangkat Teuk Laak 1, Khan Toul Kork, Phnom Penh, Cambodia.",1/19/2024,1/19/2024
2,4,120104-02,"285, Street 271, Village 1, Sangkat Boeung Keng Kang, Khan Chamkarmon, Phnom Penh.",1/19/2024,1/19/2024
2,7,120404-02,"207, Street 271, Village 7, Sangkat Phsar Doeum Kor, Khan Chamkarmon, Phnom Penh, Cambodia.",1/19/2024,1/19/2024
2,4,141303,"70, Village 4, Sangkat Kampong Leav, Prey Veng City, Prey Veng Province.",1/19/2024,1/19/2024
2,4,150603,"Street 05, Ra Village, Sangkat Phteah Prey, Pursat City, Pursat Province.",1/19/2024,1/19/2024
2,4,170609,"Kork Srok village, Puok commune, Puok district, Siem Reap province",1/19/2024,1/19/2024
2,4,160902,"Street 78, Sangkat Laban Siek, Banlung City, Rattanakiri Province.",1/19/2024,1/19/2024
2,4,30308,"National Road No. 6, Ta Sen Village, Sotip Commune, Cheung Prey District, Kampong Cham Province.",1/19/2024,1/19/2024
2,4,171201,"Plot No. 2794, Chong Kaosou Village, Sangkat Slor Kram, Siem Reap City, Siem Reap Province.",1/19/2024,1/19/2024
2,4,190501,"Prek Village, Sangkat Stung Treng, Stung Treng City, Stung Treng Province.",1/19/2024,1/19/2024
2,4,200705,"Rup Ko Village, Sangkat Chek, Svay Rieng District, Svay Rieng Province.",1/19/2024,1/19/2024
2,4,210201,"Prey Romdeng Village, Ang Tasom Commune, Tram Kak District, Takeo Province.",1/19/2024,1/19/2024
2,4,211002,"Poum 3, Sangkat Rokar Knung, Krung DounKeo, Takeo Province",1/19/2024,1/19/2024
2,7,120106,"Mao Tse Toung Street, Village 6, Sangkat Toul Svay Prey 1, Khan Boeung Keng Kang, Phnom Penh, Cambodia.",1/19/2024,1/19/2024
2,7,120109,"155E0, Street 163, Corner of Street 468, Sangkat Toul Tum Poung I, Khan Chamkarmon, Phnom Penh, Cambodia.",1/19/2024,1/19/2024
2,7,120206,"Next to the fence of Norodom Primary School, Norodom Blvd., Sangkat Phsar Kandal II, Khan Daun Penh, Phnom Penh",1/19/2024,1/19/2024
2,7,120607,"Street 371, Sangkat Boeung Tumpun 2, Khan Meanchey, Phnom Penh, Cambodia.",1/19/2024,1/19/2024
2,7,120802-02,"Spring Plaza Building No. 2175, Street 2004, Sangkat Teuk Thla, Khan Sen Sok, Phnom Penh",1/19/2024,1/19/2024
2,7,12110,"National Road No. 6A, Group 8, Village 3, Sangkat Chroy Changva, Khan Chroy Changva, Phnom Penh",1/19/2024,1/19/2024
