ATM ID,Alias Name,ATM Live,Location,ATM Type,Bank,Model
AMKATM53,ASNTAN1-A001,5-Oct-20,"Tnot 1 Deum Village, Bek Chan Commune, Ang Snoul District, Kandal Province.",ATM ,AMK,DN100D
AMKATM54,ASNASN-A001,21-Jun-21,"10, Street 4, Bek Chan Village, Sangkat Bek Chan, Ang Snoul District, Kandal Province.",ATM ,AMK,DN100D
AMKATM55,TAKTAK-A001,17-Mar-22,"National Road 2, Phsar Ta Kor Village, Sangkat Rokar Knoung, Daun Keo City, Takeo Province.",ATM ,AMK,DN100D
AMKATM56,PNPPSC-A001,20-Jan-16,"Building No. 97Eo, Street 110, Sangkat Wat Phnom, Khan Daun Penh, Phnom Penh",ATM ,AMK,DN100D
AMKATM59,PNPCKM-A001,23-Jun-21,"plot no. 191, oknha try heng street 2011, kork khleang village, sangkat kork khleang, khan sen sok, phnom penh.",ATM ,AMK,DN100D
AMKATM60,ASNCPV-A001,21-Jun-21,"35, National Road 4, Ang Village, Sangkat Choam Chao, Khan Por Senchey, Phnom Penh.",ATM ,AMK,DN100D
AMKATM61,KADKAD-A001,24-Jun-21,"Location: Takhmao Village, Sangkat Takhmao, Takhmao City, Kandal Province.",ATM ,AMK,DN100D
AMKATM62,PNPBKM-A001,23-Jun-21,"152BA5 and 152BA6, Street 516, Village 13, Sangkat Boeung Kak I, Khan Toul Kork, Phnom Penh.",ATM ,AMK,DN100D
AMKATM63,SHVSHV-A001,3-Sep-21,"Group 4, Village 4, Sangkat 4, Sihanoukville, Preah Sihanouk Province.",ATM ,AMK,DN100D
AMKATM65,PUKPUK-A001,2-Sep-21,"Kork Srok village, Puok commune, Puok district, Siem Reap province",ATM ,AMK,DN100D
AMKATM68,RTKRTK-A001,3-Sep-21,"Street 78, Sangkat Laban Siek, Banlung City, Rattanakiri Province.",ATM ,AMK,DN100D
AMKATM69,SKNSKN-A001,2-Sep-21,"National Road No. 6, Ta Sen Village, Sotip Commune, Cheung Prey District, Kampong Cham Province.",ATM ,AMK,DN100D
AMKATM70,PRHPRH-A001,24-Aug-21,"Lor Et Village, Kampong Pranak Commune, Preah Vihear District, Preah Vihear Province",ATM ,AMK,DN100D
AMKATM71,SRPNMK-A001,13-Sep-21,"Mondul 2 Village, Sangkat Svay Dangkum, Siem Reap City, Siem Reap Province.",ATM ,AMK,DN100D
AMKATM72,SVRSVR-A001,3-Mar-22,"Rup Ko Village, Sangkat Chek, Svay Rieng District, Svay Rieng Province.",ATM ,AMK,DN100D
AMKATM74,SRPSRP-A001,16-Nov-21,"Plot No. 2794, Chong Kaosou Village, Sangkat Slor Kram, Siem Reap City, Siem Reap Province.",ATM ,AMK,DN100D
AMKATM75,STRSTR-A001,1-Jan-22,"Prek Village, Sangkat Stung Treng, Stung Treng City, Stung Treng Province.",ATM ,AMK,DN100D
AMKATM76,TTLKFR-A001,4-May-22,"Spring Plaza Building No. 2175, Street 2004, Sangkat Teuk Thla, Khan Sen Sok, Phnom Penh",ATM ,AMK,DN100D
