atm_id,alias_id,site_id,site_name,address,city,state,region_name,location,accessibility,install_date,delivery_date,take_over_date,category_name,model_name,serial_number,type_name,warranty_days,bank_name,user_id,status
AMKATM30,KSVKSV-A001,102624,On-site,"# 1, Toul Tnaot Village, Koki Commune, Kien Svay District, Kandal Province.",Ta Khmau Municipality,Kandal,Ta Khmau Municipality,Ta Khmau Municipality,06:00 to 18:00,6/25/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004204,ATM,365,AMK MFI,1,active
AMKATM31,MEMMEM-A001,101516,On-site,"Tbov Wat Village, Memot Commune, Memot District, Kampong Cham Province.",Suong Municipality,Tboung Khmum,Suong Municipality,Suong Municipality,06:00 to 18:00,7/5/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004226,ATM,365,AMK MFI,1,active
AMKATM32,KSPKSP-A001,102135,On-site,"Plot No. 567, Kraing Pol Tep Village, Sangkat Rokar Thom, Chbar Morn City, Kampong Speu Province.",Kratié Municipality,Kampong Speu,Kratié Municipality,Kratié Municipality,06:00 to 18:00,6/24/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004197,ATM,365,AMK MFI,1,active
AMKATM33,PNPBNC-C001,103164,On-site,"# 432E, Preah Monivong Street, Sangkat Tonle Bassac, Khan Chamkarmon, Phnom Penh, Cambodia.",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,8/28/2021,7/18/2021,8/30/2026,Gold,DN 200V,5310263723,CRM,365,AMK MFI,1,active
AMKATM35,KPTCHH-A001,111803,On-site,"Sat Pong Village, Sat Pong Commune, Chhouk District, Kampot Province.",Kampot Municipality,Kampot,Kampot Municipality,Kampot Municipality,06:00 to 18:00,6/30/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004235,ATM,365,AMK MFI,1,active
AMKATM36,PNPSMC-C001,103175,On-site,"Damnak Thom Village, Sangkat Steung Meanchey, Khan Meanchey, Phnom Penh",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,6/20/2021,7/18/2021,8/30/2026,Gold,DN 200V,5310263925,CRM,365,AMK MFI,1,active
AMKATM37,PNPPEH-C001,110515,On-site,"National Road No. 1, Boeung Chhouk Village, Sangkat Niroth, Khan Chbar Ampov, Phnom Penh, Cambodia.",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,7/7/2021,7/18/2021,8/30/2026,Gold,DN 200V,5310259922,CRM,365,AMK MFI,1,active
AMKATM38,PNPNUM-C001,111265,On-site,"National University of Management, St. 96 Christopher House, Sangkat Wat Phnom, Khan Daun Penh, Phnom Penh, Cambodia.",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,7/8/2021,7/18/2021,8/30/2026,Gold,DN 200V,5310259813,CRM,365,AMK MFI,1,active
AMKATM39,PNPEGN-C001,111561,Offsite,"Center #Phnom Phnom Penh (PPCC), City Center Blvd, Sangkat Srah Chak, Khan Daun Penh, Phnom Penh",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,6/21/2021,7/18/2021,8/30/2026,Gold,DN 200V,5310259780,CRM,365,AMK MFI,1,active
AMKATM40,TAKATS-A001,101011,Offsite,"Prey Romdeng Village, Ang Tasom Commune, Tram Kak District, Takeo Province.",Doun Kaev Municipality,Takéo,Doun Kaev Municipality,Doun Kaev Municipality,06:00 to 18:00,3/17/2022,7/18/2021,8/30/2026,Gold,DN 100D,J810004214,ATM,365,AMK MFI,1,active
