atm_id,alias_id,site_id,site_name,address,city,state,region_name,location,accessibility,install_date,delivery_date,take_over_date,category_name,model_name,serial_number,type_name,warranty_days,bank_name,user_id,status
AMKATM82,VSR371-A001,113736,Offsite,"Street 371, Sangkat Boeung Tumpun 2, Khan Meanchey, Phnom Penh, Cambodia.",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,5/5/2022,5/1/2022,8/30/2026,Gold,DN 100D,J810009357,ATM,365,AMK MFI,1,active
AMKATM83,PDKIOM-A001,113746,Offsite,"# 59, Street 51 (Pasteur), Corner of Street 294, Sangkat Boeung Keng Kang I, Khan Chamkar Mon, Phnom Penh, Cambodia.",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,5/3/2022,5/1/2022,8/30/2026,Gold,DN 100D,J810009358,ATM,365,AMK MFI,1,active
AMKATM85,TTLHCF-A001,113907,Offsite,"St. 2002/371, Land No. 3057, Trapeang Chhouk Village, Sangkat O Bek Kam, Khan Sen Sok, Phnom Penh, Cambodia.",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,6/15/2022,5/1/2022,8/30/2026,Gold,DN 100D,J810009353,ATM,365,AMK MFI,1,active
AMKATM86,BKMSTD-A001,114010,Offsite,"Sky Tree Residence Building, Street 105, Sangkat Toul Sangke I, Khan Russey Keo, Phnom Penh, Cambodia.",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,6/16/2022,5/1/2022,8/30/2026,Gold,DN 100D,J810009352,ATM,365,AMK MFI,1,active
AMKATM87,CCVDCF-A001,114011,Offsite,"Preah Keto Mealea Hospital Premises, France Road (47), Village 13, Sangkat Srah Chak, Khan Daun Penh, Phnom Penh, Cambodia.",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,6/16/2022,5/1/2022,8/30/2026,Gold,DN 100D,J810009354,ATM,365,AMK MFI,1,active
AMKATM88,VSRKMA-A001,114008,Offsite,"K-Mall, Building No. 188, Phlong Veng Sreng, Trapeang Thleung 1 Village, Sangkat Choam Chao 1, Khan Por Senchey, Phnom Penh, Cambodia.",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,6/15/2022,5/1/2022,8/30/2026,Gold,DN 100D,J810009351,ATM,365,AMK MFI,1,active
AMKDC01,PPT Chbar Obpov,121203,Offsite,"National Road No.1 (Phnom Penh-Vietnam), Sangkat Niruth, Khan Meanchey, Phnom Penh, Cambodia",Khan Meanchey,Phnom Penh,Phnom Penh,Khan Meanchey,06:00 to 18:00,6/28/2022,6/28/2022,6/28/2027,Gold,DC365,DM200A00266,DC365,365,AMK MFI,1,active
AMKDC02,PPT Prey Key,120908,Offsite,"National Road No.3, Phum Prey key, Sangkat Pleung chhess Rotes, Khan Posen Chey, Phnom Penh, Cambodia",Khan Posen Chey,Phnom Penh,Phnom Penh,Khan Posen Chey,06:00 to 18:00,6/29/2022,6/29/2022,6/29/2027,Gold,DC365,DM200A00303,DC365,365,AMK MFI,1,active
AMKDC03,PTT Prek Phnov,121101,Offsite,"National Road No.5, Doung villlage, sangkat Por Nhea Leu, Khan Prek Phnov, Phnom Penh.",Khan Prek Phnov,Phnom Penh,Phnom Penh,Khan Prek Phnov,06:00 to 18:00,6/30/2022,6/30/2022,6/30/2027,Gold,DC365,DM200A002302,DC365,365,AMK MFI,1,active
ATM0001,ATM0001,12304,OnSite,"Building No 271, Preah Monivong Boulevard, Sangkat Bueng Kang Korng III, Khan Boeung Keng Kong, Phnom Penh",Boeung keng kong section,Phnom Penh,Phnom Penh,Boeung keng kong section,06:00 to 18:00,1/21/2022,1/21/2022,4/1/2027,Gold,DN 100D,J810001788,ATM,365,Wing,1,active
IMATM001,IMATM001,12302,OnSite,"Building No. 130, Preah Sihanouk Boulevard(274), Sangkat  Boeung Keng Kong Ti mouy, Khan Boeung Keng Kong, Phnom Penh",Boeung keng kong section,Phnom Penh,Phnom Penh,Boeung keng kong section,06:00 to 18:00,3/4/2022,3/4/2022,1/21/2027,Gold,DN 100D,J810001786,ATM,365,Wing,1,active
SSATM001,SSATM001,12101,OnSite,"Building No 11 & 12A, Street 1003,Phum Ba Yab Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",Sen Sok section,Phnom Penh,Phnom Penh,Sen Sok section,06:00 to 18:00,3/18/2022,3/18/2022,3/4/2027,Gold,DN 100D,J810005791,ATM,365,Wing,1,active
TKATM001,TKATM001,12151,OnSite,"#22, Sangkat Boeng kork Ti Mouy, Khan Toul Kork, Phnom Penh",Toul Kork section,Phnom Penh,Phnom Penh,Toul Kork section,06:00 to 18:00,3/18/2022,3/18/2022,5/18/2027,Gold,DN 100D,J810009350,ATM,365,Wing,1,active
WPATM001,WPATM001,12211,OnSite,"Building No 246, Monivong Blvd, Sangkat Boueng Reang, Khan Duan Penh, Phnom Penh",Duan Penh section,Phnom Penh,Phnom Penh,Duan Penh section,06:00 to 18:00,5/30/2022,5/30/2022,5/30/2027,Gold,DN 100D,J810009867,ATM,365,Wing,1,active
SHVATM01,SHVATM01,180402,OnSite,"Street Ekareach, Phum 1, Sangkat 2, Sihanouk City, Preah Sihanouk Province",Preah Sihanouk Sihanouk Municipality,Preah Sihanouk,Preah Sihanouk,Preah Sihanouk Sihanouk Municipality,06:00 to 18:00,6/1/2022,6/1/2022,6/1/2027,Gold,DN 100D,J810009860,ATM,365,Wing,1,active
CRM0001,CRM0001,12304,OnSite,"Building No 271, Preah Monivong Boulevard, Sangkat Bueng Kang Korng III, Khan Boeung Keng Kong, Phnom Penh",Boeung keng kong section,Phnom Penh,Phnom Penh,Boeung keng kong section,06:00 to 18:00,6/14/2022,6/14/2022,5/24/2027,Gold,DN 200V,J812001288,CRM,365,Wing,1,active
IMCRM001,IMCRM001,12302,OnSite,"Building No. 130, Preah Sihanouk Boulevard(274), Sangkat  Boeung Keng Kong Ti mouy, Khan Boeung Keng Kong, Phnom Penh",Boeung keng kong section,Phnom Penh,Phnom Penh,Boeung keng kong section,06:00 to 18:00,7/19/2022,7/19/2022,6/14/2027,Gold,DN 200V,J812001412,CRM,365,Wing,1,active
SSCRM001,SSCRM001,12101,OnSite,"Building No 11 & 12A, Street 1003,Phum Ba Yab Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",Sen Sok section,Phnom Penh,Phnom Penh,Sen Sok section,06:00 to 18:00,6/13/2022,6/13/2022,7/19/2027,Gold,DN 200V,J812001410,CRM,365,Wing,1,active
TKCRM001,TKCRM001,12151,OnSite,"#22, Sangkat Boeng kork Ti Mouy, Khan Toul Kork, Phnom Penh",Toul Kork section,Phnom Penh,Phnom Penh,Toul Kork section,06:00 to 18:00,6/13/2022,6/13/2022,6/13/2027,Gold,DN 200V,J812001413,CRM,365,Wing,1,active
WPCRM001,WPCRM001,12211,OnSite,"Building No 246, Monivong Blvd, Sangkat Boueng Reang, Khan Duan Penh, Phnom Penh",Duan Penh section,Phnom Penh,Phnom Penh,Duan Penh section,06:00 to 18:00,5/30/2022,5/30/2022,5/30/2027,Gold,DN 200V,J812001289,CRM,365,Wing,1,active
SHVCRM01,SHVCRM01,180402,OnSite,"Street Ekareach, Phum 1, Sangkat 2, Sihanouk City, Preah Sihanouk Province",Preah Sihanouk Sihanouk Municipality,Preah Sihanouk,Preah Sihanouk,Preah Sihanouk Sihanouk Municipality,06:00 to 18:00,6/1/2022,6/1/2022,6/1/2027,Gold,DN 200V,J812001290,CRM,365,Wing,1,active
CCM1280003,CCM1280003,12101,Phnom penh,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",Sen Sok sector,Phnom Penh,Phnom Penh,AEON Mall Sen Sok City,06:00 to 18:00,12/14/2022,12/24/2022,12/15/2027,Gold,DC365,DM200A30016,DC365,365,ABA Bank,1,active
CCM1280004,CCM1280004,12101,Phnom penh,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",Sen Sok sector,Phnom Penh,Phnom Penh,AEON Mall Sen Sok City,06:00 to 18:00,12/14/2022,12/24/2022,12/15/2027,Gold,DC365,DM200A30019,DC365,365,ABA Bank,1,active
CCM1280005,CCM1280005,12101,Phnom penh,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",Sen Sok sector,Phnom Penh,Phnom Penh,AEON Mall Sen Sok City,06:00 to 18:00,12/14/2022,12/24/2022,12/15/2027,Gold,DC365,DM200A30013,DC365,365,ABA Bank,1,active
CCM1280006,CCM1280006,12101,Phnom penh,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",Sen Sok sector,Phnom Penh,Phnom Penh,AEON Mall Sen Sok City,06:00 to 18:00,12/14/2022,12/24/2022,12/15/2027,Gold,DC365,DM200A30008,DC365,365,ABA Bank,1,active
CCM1280007,CCM1280007,12101,Phnom penh,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",Sen Sok sector,Phnom Penh,Phnom Penh,AEON Mall Sen Sok City,06:00 to 18:00,12/14/2022,12/24/2022,12/15/2027,Gold,DC365,DM200A30005,DC365,365,ABA Bank,1,active
CCM1280009,CCM1280009,12101,Phnom penh,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",Sen Sok sector,Phnom Penh,Phnom Penh,AEON Mall Sen Sok City,06:00 to 18:00,12/14/2022,12/24/2022,12/15/2027,Gold,DC365,DM200A30017,DC365,365,ABA Bank,1,active
CCM1280010,CCM1280010,12101,Phnom penh,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",Sen Sok sector,Phnom Penh,Phnom Penh,AEON Mall Sen Sok City,06:00 to 18:00,12/14/2022,12/24/2022,12/15/2027,Gold,DC365,DM200A30020,DC365,365,ABA Bank,1,active
CCM1280011,CCM1280011,12101,Phnom penh,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",Sen Sok sector,Phnom Penh,Phnom Penh,AEON Mall Sen Sok City,06:00 to 18:00,12/14/2022,12/24/2022,12/15/2027,Gold,DC365,DM200A30003,DC365,365,ABA Bank,1,active
CCM1280012,CCM1280012,12101,Phnom penh,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",Sen Sok sector,Phnom Penh,Phnom Penh,AEON Mall Sen Sok City,06:00 to 18:00,12/14/2022,12/24/2022,12/15/2027,Gold,DC365,DM200A30012,DC365,365,ABA Bank,1,active
CCM1280013,CCM1280013,12353,Phnom penh,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",Mean chey sector,Phnom Penh,Phnom Penh,AEON Mall Mean chey,06:00 to 18:00,12/14/2022,12/24/2022,12/15/2027,Gold,DC365,DM200A30015,DC365,365,ABA Bank,1,active
CCM1280014,CCM1280014,12353,Phnom penh,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",Mean chey sector,Phnom Penh,Phnom Penh,AEON Mall Mean chey,06:00 to 18:00,12/14/2022,12/24/2022,12/15/2027,Gold,DC365,DM200A30004,DC365,365,ABA Bank,1,active
CCM1280015,CCM1280015,12353,Phnom penh,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",Mean chey sector,Phnom Penh,Phnom Penh,AEON Mall Mean chey,06:00 to 18:00,12/14/2022,12/24/2022,12/15/2027,Gold,DC365,DM200A30011,DC365,365,ABA Bank,1,active
CCM1280016,CCM1280016,12353,Phnom penh,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",Mean chey sector,Phnom Penh,Phnom Penh,AEON Mall Mean chey,06:00 to 18:00,12/14/2022,12/24/2022,12/15/2027,Gold,DC365,DM200A30009,DC365,365,ABA Bank,1,active
CCM1280017,CCM1280017,12353,Phnom penh,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",Mean chey sector,Phnom Penh,Phnom Penh,AEON Mall Mean chey,06:00 to 18:00,12/14/2022,12/24/2022,12/15/2027,Gold,DC365,DM200A30014,DC365,365,ABA Bank,1,active
CCM1280018,CCM1280018,12353,Phnom penh,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",Mean chey sector,Phnom Penh,Phnom Penh,AEON Mall Mean chey,06:00 to 18:00,12/14/2022,12/24/2022,12/15/2027,Gold,DC365,DM200A30007,DC365,365,ABA Bank,1,active
CCM1280019,CCM1280019,12353,Phnom penh,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",Mean chey sector,Phnom Penh,Phnom Penh,AEON Mall Mean chey,06:00 to 18:00,12/14/2022,12/24/2022,12/15/2027,Gold,DC365,DM200A30018,DC365,365,ABA Bank,1,active
CCM1280020,CCM1280020,12353,Phnom penh,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",Mean chey sector,Phnom Penh,Phnom Penh,AEON Mall Mean chey,06:00 to 18:00,12/14/2022,12/24/2022,12/15/2027,Gold,DC365,DM200A30006,DC365,365,ABA Bank,1,active
TCATM001,TCATM001,12302,Next to branch,"Boeng Keng Kang Muoy, khan Boeng Keng Kang, Phnom penh, Cambodia",Boeng Keng Kang sector,Phnom Penh,Phnom Penh,Youkon thor branch,06:00 to 18:00,10/21/2022,10/21/2022,10/21/2022,Gold,DN 100D,J810009716,ATM,365,Wing,1,active
TCCRM001,TCCRM001,12302,Phnom penh,"Boeng Keng Kang Muoy, khan Boeng Keng Kang, Phnom penh, Cambodia",Boeng Keng Kang sector,Phnom Penh,Phnom Penh,Youkon thor branch,06:00 to 18:00,10/21/2022,10/21/2022,10/21/2022,Gold,DN 200V,J812001420,CRM,365,Wing,1,active
PBCATM01,PBCATM01,12304,Phnom penh,"759 Preah Monivong Blvd (93), Phnom Penh",Boeng Keng Kang sector,Phnom Penh,Phnom Penh,Boeng Trabaek branch,06:00 to 18:00,1/10/2023,1/10/2023,1/10/2028,Gold,DN 200V,J810009866,ATM,365,Wing,1,active
PBCCRM01,PBCCRM01,12304,Phnom penh,"759 Preah Monivong Blvd (93), Phnom Penh",Boeng Keng Kang sector,Phnom Penh,Phnom Penh,Boeng Trabaek branch,06:00 to 18:00,1/10/2023,1/10/2023,1/10/2028,Gold,DN 200V,J812001418,CRM,365,Wing,1,active
PSZATM01,PSZATM01,120906,Phnom penh,"Building no 115,117 and 119 Street No.1 Trapean kol village, Sangkat Kan Taok, Khan Kamboul, Phnompenh",Kamboul sector,Phnom Penh,Phnom Penh,PPSEZ,06:00 to 18:00,1/25/2023,1/25/2023,1/25/2028,Gold,DN 200V,J810009864,ATM,365,Wing,1,active
PSZCRM01,PSZCRM01,120906,Phnom penh,"Building no 115,117 and 119 Street No.1 Trapean kol village, Sangkat Kan Taok, Khan Kamboul, Phnompenh",Kamboul sector,Phnom Penh,Phnom Penh,PPSEZ,06:00 to 18:00,1/25/2023,1/25/2023,1/25/2028,Gold,DN 200V,J812001411,CRM,365,Wing,1,active
BTBCRM01,BTBCRM01,21401,Battambang,Battambang,Battambang,Battambang,Phnom Penh,Battambang branch,06:00 to 18:00,1/18/2023,1/18/2023,1/18/2028,Gold,DN 200V,J812001417,CRM,365,Wing,1,active
BMCCRM01,BMCCRM01,10801,Banteay Mean Chey,Banteay Mean Chey,Banteay Mean Chey,Banteay Mean Chey,Phnom Penh,Banteay Mea Chaey branch,06:00 to 18:00,1/18/2023,1/18/2023,1/18/2028,Gold,DN 200V,J812001414,CRM,365,Wing,1,active
OKDCRM01,OKDCRM01,100989,On-site,"Building no. SHR135, Street 2004, Orchide Village, Sangkat Ou Beak Kam, Khan Saesokh, Phnom Penh, Cambodia.",Saesok sector,Phnom Penh,Saesok sector,Saesok sector,06:00 to 18:00,2/17/2023,2/17/2023,2/17/2028,Gold,DN 200V,J812001409,CRM,365,Wing,1,active
AMKDC04,PTT_Klaing Leu,180401,Off-site,"National Road No. 4, Sangkat 1, Khan Mittapheap, Sihanouk Province, Cambodia",Sihanouk Municipality,Sihanouk,Sihanouk,Sihanouk,06:00 to 18:00,5/29/2023,5/29/2023,5/29/2028,Gold,DN 200V,C2304001,DC365,365,AMK MFI,1,active
AMKDC05,PTT Seang Nam,171206,Off-site,"National Road No. 6, Sangkat Chreav, Khan Siem Reap, Siem Reap Province, Kingdom of Cambodia",Siem Reap Municipality,Siem Reap,Siem Reap,Siem Reap,06:00 to 18:00,6/8/2023,6/8/2023,6/8/2028,Gold,DN 200V,C2304002,DC365,365,AMK MFI,1,active
AMKDC06,PTT Siem Reap,171202,Off-site,"National road No. 6, Phum Sala Kanseng, Sangkat No.2, Siem Reap Province, Kingdom of Cambodia",Siem Reap Municipality,Siem Reap,Siem Reap,Siem Reap,06:00 to 18:00,6/7/2023,6/7/2023,6/7/2028,Gold,DC365lx,C2304003,DC365,365,AMK MFI,1,active
AMKDC07,PTT Phdao Chum 1,30303-01,Off-site,"National Road No. 6 Phum Chheur Teal, Khum Phdao Chum, Srok Cherng Prey, Kampong Cham Province, Kingdom of Cambodia",Kampong Cham Municipality,Kompong Cham,Kompong Cham,Kompong Cham,06:00 to 18:00,6/6/2023,6/6/2023,6/6/2028,Gold,DC365lx,C2304004,DC365,365,AMK MFI,1,active
AMKDC08,PTT Phdao-Chum 2,030303-02,Off-site,"National Road No. 6 Phum Chheur Teal, Khum Phdao Chum, Srok Cherng Prey, Kampong Cham Province, Kingdom of Cambodia",Kampong Cham Municipality,Kompong Cham,Kompong Cham,Kompong Cham,06:00 to 18:00,6/5/2023,6/5/2023,6/5/2028,Gold,DC365lx,C2304005,DC365,365,AMK MFI,1,active
AMKDC09,PTT Takeo City,211002,Off-site,"Poum 3, Sangkat Rokar Knung, Krung DounKeo, Takeo Province",DounKeo municipality,Takeo,Takeo,Takeo,06:00 to 18:00,5/31/2023,5/31/2023,5/31/2028,Gold,DC365lx,C2304006,DC365,365,AMK MFI,1,active
AMKDC10,PTT Pich Nil,50512,Off-site,"National Road No4, Phumi 6, Khom Traeng Troyeung, Srok Phnom Srouch, Kampong Speu Province, Cambodia.","Chbar Mon Municipality	",Kompong Speu,Kompong Speu,Kompong Speu,06:00 to 18:00,5/30/2023,5/30/2023,5/30/2028,Gold,DC365lx,C2304007,DC365,365,AMK MFI,1,active
AMKDC11,PTT Kampong Chhnang,40704,Off-site,"National R. 5, Phum Toul Khsach, Khum Chrey Bak, Srok Rolea Pa Ear, Kanpong Chhnang province","Kanpong Chhnang Municipality	",Kompon Chhnang,Kompon Chhnang,Kompon Chhnang,06:00 to 18:00,6/9/2023,6/9/2023,6/9/2028,Gold,DC365lx,C2304009,DC365,365,AMK MFI,1,active
AMKATM89,AMKATM89,120104-07,UAT,"285, Street 271, Village 1, Sangkat Boeung Keng Kang, Khan Chamkarmon, Phnom Penh",Chamkarmon sector,Phnom Penh,Phnom Penh,Phnom Penh,06:00 to 18:00,6/9/2022,6/9/2022,6/9/2028,Gold,DN 100D,J810004222,ATM,365,AMK MFI,1,active
AMKATM90,AMKATM90,120104-07,UAT,"285, Street 271, Village 1, Sangkat Boeung Keng Kang, Khan Chamkarmon, Phnom Penh",Chamkarmon sector,Phnom Penh,Phnom Penh,Phnom Penh,06:00 to 18:00,6/9/2022,6/9/2022,6/9/2027,Gold,DN 200V,J812001678,CRM,365,AMK MFI,1,active
AMKATM91,AMKATM91,120910,On-site,"Building 6, Veng Sreng Street, Trapeang Thleung Village, Sangkat Choam Chao, Khan Por Senchey, Phnom Penh.",Por senchey sector,Phnom Penh,Phnom Penh,Phnom Penh,06:00 to 18:00,5/26/2023,5/26/2023,5/26/2028,Gold,DN 200V,5310259836,CRM,365,AMK MFI,1,active
BKATM001,BKATM001,12304,On-site,"Building No 271, Preah Monivong Boulevard, Sangkat Bueng Kang Korng III, Khan Boeung Keng Kong, Phnom Penh",Boeung keng kong sector,Phnom Penh,Phnom Penh,Phnom Penh,06:00 to 18:00,5/15/2023,5/15/2023,5/15/2028,Gold,DN 100D,J810009717,ATM,365,Wing,1,active
BKCRM001,BKCRM001,12304,On-site,"Building No 271, Preah Monivong Boulevard, Sangkat Bueng Kang Korng III, Khan Boeung Keng Kong, Phnom Penh",Boeung keng kong sector,Phnom Penh,Phnom Penh,Phnom Penh,06:00 to 18:00,5/15/2023,5/15/2023,5/15/2028,Gold,DN 200V,J812001419,CRM,365,Wing,1,active
ATM-share 01,ATM share 01,12302-03,Off-site,"44, St 334 corner 57, Sangkat Beoung keng kong I, Khan Beoung keng kong, Phnom penh",Boeung keng kong sector,Phnom Penh,Phnom Penh,Phnom Penh,06:00 to 18:00,5/15/2023,5/15/2023,5/15/2028,Gold,DN 100D,J812001421,ATM,365,BTI,1,active
ATM-share 02,ATM share 02,12302-03,Off-site,"Street 144,  Sangkat Boeng Prolit, Phnom Penh",Boeung keng kong sector,Phnom Penh,Phnom Penh,Phnom Penh,06:00 to 18:00,5/15/2023,5/15/2023,5/15/2028,Gold,DN 100D,J812001422,ATM,365,BTI,1,active
KPCCRM01,KPCCRM01,30401,On-site,"Boeng Kok Ti Pir Village, Sangkat Boeng Kok, Kampong Cham Municipality, Kompong Cham province",Kompong Cham Municipality,Kompong Cham,Kompong Cham,Kompong Cham,06:00 to 18:00,6/26/2023,6/26/2023,6/26/2028,Gold,DN 200V,J812001416,CRM,365,Wing,1,active
CCM1280021,CCM1280021,1235312,On-site,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",Porsenchey Section,Phnom Penh,Phnom Penh,Phnom Penh,06:00 to 18:00,8/23/2023,8/23/2023,8/24/2030,Gold,DC365,DM500C2304013B,DC365,365,ABA Bank,1,active
CCM1280022,CCM1280022,1235313,On-site,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",Porsenchey Section,Phnom Penh,Phnom Penh,Phnom Penh,06:00 to 18:00,8/23/2023,8/23/2023,8/25/2030,Gold,DC365,DM500C2304018B,DC365,365,ABA Bank,1,active
CCM1180023,CCM1180023,1210112,On-site,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",SenSok Section,Phnom Penh,Phnom Penh,Phnom Penh,06:00 to 18:00,8/23/2023,8/23/2023,8/26/2030,Gold,DC365,DM500C2304027B,DC365,365,ABA Bank,1,active
CCM1180024,CCM1180024,1210113,On-site,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",SenSok Section,Phnom Penh,Phnom Penh,Phnom Penh,06:00 to 18:00,8/23/2023,8/23/2023,8/27/2030,Gold,DC365,DM500C2304028B,DC365,365,ABA Bank,1,active
CCM1180008,CCM1180008,1210114,On-site,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",SenSok Section,Phnom Penh,Phnom Penh,Phnom Penh,06:00 to 18:00,8/23/2023,8/23/2023,8/28/2030,Gold,DC365,DM500C2304022B,DC365,365,ABA Bank,1,active
TKOCRM01,TKOCRM01,211002,On-site,"National Road No 2, Phum Louri, Sanhkat Roka Knong, Krong Daun Kaev, Takeo Province",Doun Kaev Municipality,Takeo,Takeo,Takeo,06:00 to 18:00,8/23/2023,8/23/2023,8/28/2028,Gold,DN 200V,J812001415,CRM,365,Wing,1,active
AMKATM06,BTBPSN-A001,102656,Offsite,"Prek Mohatep Village, Sangkat Svay Por, Battambang Province.",Battambang Municipality,Battambang,Battambang Municipality,Battambang Municipality,06:00 to 18:00,7/14/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004236,ATM,365,AMK MFI,1,non-active
CCM1280008,CCM1280008,12101,Phnom penh,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",Sen Sok sector,Phnom Penh,Phnom penh,Phnom penh,06:00 to 18:00,12/24/2022,12/24/2022,12/15/2027,Gold,DC365,DM200A30010,DC365,365,ABA Bank,1,non-active
AE3ATM01,AE3ATM01,12353201,Onsite,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",Mean chey sector,Phnom Penh,Phnom penh,Phnom penh,06:00 to 18:00,8/31/2023,8/31/2023,8/31/2028,Gold,DN 100D,J810009863,ATM,365,Wing,1,active
AE3CRM01,AE3CRM01,12353202,Onsite,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",Mean chey sector,Phnom Penh,Phnom penh,Phnom penh,06:00 to 18:00,8/31/2023,8/31/2023,8/31/2028,Gold,DN 200V,J812002093,CRM,365,Wing,1,active
