atm_id,alias_id,banklocation_id,install_date,delivery_date,takeover_date,category_id,model_id,android_version,serail_number,type_id,status_id,warrenty
AMKATM34,PNPDAK,79,10/5/2022,7/18/2021,8/30/2026,2,1,Win10,J810004196,1,1,365
AMKATM09,PNPFFM-A001,110,1/18/2023,7/18/2021,8/30/2026,2,1,Win10,J810004229,1,1,365
AMKATM45,PNPGRM-A001,29,8/27/2021,7/18/2021,8/30/2026,2,2,Win10,J821001981,1,1,365
AMKATM52,PNPHAR-A001,123,8/28/2021,7/18/2021,8/30/2026,2,1,Win10,J810004199,1,1,365
AMKATM81,PNPMBC-A001,137,5/2/2022,5/1/2022,8/30/2026,2,1,Win10,J810009361,1,1,365
AMKATM79,PNPMTT-A001,1,5/2/2022,5/1/2022,8/30/2026,2,1,Win10,J810009359,1,1,365
AMKATM66,PNPNUM-C001,31,9/1/2021,7/18/2021,8/30/2026,2,3,Win10,5310259813,2,1,365
AMKATM28,PNPPDK-A001,32,11/10/2023,7/18/2021,8/30/2026,2,1,Win10,J810004230,1,1,365
AMKATM29,PNPPDK-C001,33,11/10/2023,7/18/2021,8/30/2026,2,3,Win10,5310263868,2,1,365
AMKATM37,PNPPEH-C001,47,7/7/2021,7/18/2021,8/30/2026,2,3,Win10,5310259922,2,1,365
AMKATM14,PNPPNP-A001,34,2/17/2023,7/18/2021,8/30/2026,2,1,Win10,J810001784,1,1,365
AMKATM08,PNPPNP-A002,124,5/15/2023,7/18/2021,8/30/2026,2,1,Win10,J810004225,1,1,365
AMKATM43,PNPPNP-C001,35,7/5/2021,7/18/2021,8/30/2026,2,3,Win10,5310259757,2,1,365
AMKATM47,PNPPPM-C001,36,9/9/2021,7/18/2021,8/30/2026,2,3,Win10,5310263750,2,1,365
AMKATM56,PNPPSC-A001,37,1/20/2016,7/18/2021,8/30/2026,2,1,Win10,J810004208,1,1,365
AMKATM13,PNPRSK-A001,38,7/19/2022,7/18/2021,8/30/2026,2,1,Win10,J810004213,1,1,365
AMKATM27,PNPRSK-C001,38,11/10/2023,7/18/2021,8/30/2026,2,3,Win10,5310259867,2,1,365
AMKATM36,PNPSMC-C001,39,6/20/2021,7/18/2021,8/30/2026,2,3,Win10,5310263925,2,1,365
AMKATM04,PNPSTM-C001,40,10/21/2022,7/18/2021,8/30/2026,2,3,Win10,5310259818,2,1,365
AMKATM64,PNPTKK-C001,41,7/17/2021,7/18/2021,8/30/2026,2,3,Win10,5310259874,2,1,365
AMKATM70,PRHPRH-A001,42,8/24/2021,7/18/2021,8/30/2026,2,1,Win10,J810004223,1,1,365
