bank_name_id,site_name_id,siteID,address
5,8,12211,"Building No 246, Monivong Blvd, Sangkat Boueng Reang, Khan Duan Penh, Phnom Penh"
5,8,12211-01,"Building No 246, Monivong Blvd, Sangkat Boueng Reang, Khan Duan Penh, Phnom Penh"
5,8,180402-01,"Street Ekareach, Phum 1, Sangkat 2, Sihanouk City, Preah Sihanouk Province"
5,8,180402-02,"Street Ekareach, Phum 1, Sangkat 2, Sihanouk City, Preah Sihanouk Province"
5,8,12304,"Building No 271, Preah Monivong Boulevard, Sangkat Bueng Kang Korng III, Khan Boeung Keng Kong, Phnom Penh"
2,7,12110,"National Road No. 6A, Group 8, Village 3, Sangkat Chroy Changva, Khan Chroy Changva, Phnom Penh"
2,7,120602,"Lot 1381, National Road 2, Sangkat Chak Angre Krom, Khan Meanchey, Phnom Penh, Cambodia."
2,7,120102,"285, Street 371, Village 1, Sangkat Boeung Keng Kang, Khan Chamkarmon, Phnom Penh."
2,7,120805,"St. 2002/371, Land No. 3057, Trapeang Chhouk Village, Sangkat O Bek Kam, Khan Sen Sok, Phnom Penh, Cambodia."
2,7,120706,"Sky Tree Residence Building, Street 105, Sangkat Toul Sangke I, Khan Russey Keo, Phnom Penh, Cambodia."
2,7,120210-02,"preah keto mealea hospital premises, france road 47, village 13, sangkat srah chak, khan daun penh, phnom penh, cambodia."
2,7,120909-02,"K-Mall, Building No. 188, Phlong Veng Sreng, Trapeang Thleung 1 Village, Sangkat Choam Chao 1, Khan Por Senchey, Phnom Penh, Cambodia."
2,4,80101-01,"10, Street 4, Bek Chan Village, Sangkat Bek Chan, Ang Snoul District, Kandal Province."
2,4,120909-01,"35, National Road 4, Ang Village, Sangkat Choam Chao, Khan Por Senchey, Phnom Penh."
2,8,120910,"K-Mall, Building No. 188, Phlong Veng Sreng, Trapeang Thleung 1 Village, Sangkat Choam Chao 1, Khan Por Senchey, Phnom Penh, Cambodia."
5,4,12302,"Boeng Keng Kang Muoy, khan Boeng Keng Kang, Phnom penh, Cambodia"
1,3,12353,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh"
1,2,12101-02,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh"
5,4,12304-02,"759 preah monivong blvd 93, phnom penh"
5,4,120906,"Building no 115,117 and 119 Street No.1 Trapean kol village, Sangkat Kan Taok, Khan Kamboul, Phnompenh	Kamboul sector"
5,4,120805-02,"Building no. SHR135, Street 2004, Orchide Village, Sangkat Ou Beak Kam, Khan Saesokh, Phnom Penh, Cambodia.	sen sok section"
2,9,120104-07,"285, Street 271, Village 1, Sangkat Boeung Keng Kang, Khan Chamkarmon, Phnom Penh"
2,4,120501,"343, Street 217, Tali Village, Sangkat Dangkor, Khan Dangkor, Phnom Penh"
2,4,12101-03,"PTT 2004, Teok Thla, sensok, phnom penh"
5,4,21105,Battam bong provide
5,4,10501,Banteay Meanchey
2,7,171209,Siem reap
2,7,180401,"National Road No. 4, Sangkat 1, Khan Mittapheap, Sihanouk Province, Cambodia"
2,7,171206,"National Road No. 6, Sangkat Chreav, Khan Siem Reap, Siem Reap Province, Kingdom of Cambodia"
2,7,30303-01,"National Road No. 6 Phum Chheur Teal, Khum Phdao Chum, Srok Cherng Prey, Kampong Cham Province, Kingdom of Cambodia"
2,7,030303-02,"National Road No. 6 Phum Chheur Teal, Khum Phdao Chum, Srok Cherng Prey, Kampong Cham Province, Kingdom of Cambodia"
2,7,50512,"National Road No4, Phumi 6, Khom Traeng Troyeung, Srok Phnom Srouch, Kampong Speu Province, Cambodia."
2,7,40704,"National R. 5, Phum Toul Khsach, Khum Chrey Bak, Srok Rolea Pa Ear, Kanpong Chhnang province"
3,7,12302-03,"44, St 334 corner 57, Sangkat Beoung keng kong I, Khan Beoung keng kong, Phnom penh"
5,4,30401,"Boeng Kok Ti Pir Village, Sangkat Boeng Kok, Kampong Cham Municipality, Kompong Cham province"
3,7,12205,"Kandal 2, Khan Daun Penh, Phnom Penh, Cambodia."
1,3,1235312,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh"
1,3,1235313,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh"
1,8,1210112,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh"
1,8,1210113,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh"
5,8,211002-01,"National Road 2, Phsar Ta Kor Village, Sangkat Rokar Knoung, Daun Keo City, Takeo Province."
5,3,12353-02,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh"
5,8,12353202,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh"
1,8,1210114,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh"
1,4,12302-02,preah sihanouk blvd 274 and st preah trasak paem st. 63 phnom penh
5,8,90701-01,"Phum Ti Muoy, Sangkat Smach Mean Chey, Khemara Phoumin Municipality, Koh Kong Province."
4,7,180204,"Kompong Sela, Expressway KM109, Khemarak Phoumin municipality"
4,9,120104,"Building No71, Street 163, Sangkat Boeng Keng Kang 3, Khan Boeng Keng Kang, Phnom Penh"
5,8,12251,"Sangkat Monorom, Khan 7 Makara, Phnom Penh, Cambodia"
5,8,120803-01,"Sangkat Khmuonh, Khan Sen Sok, Phnom Penh"
5,7,120101,"132, Street Somdach Sothearos, Songkat Tonle Bassac, Khan Chamkarmon, Phnom Penh"
5,7,120801-01,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh"
5,7,12406,"Phnom Penh International Airport, St Russian Federation, Khan Por Senchey, Phnom Penh"
